time,xpos,ypos
1970-01-01T00:00:00.266+01:00,-1.0002173667089664e-07,-4.800851911424206e-17
1970-01-01T00:00:00.269+01:00,-1.1427240098615954e-07,-1.504833540014953e-16
1970-01-01T00:00:00.271+01:00,-1.2851283015535842e-07,-2.5715341853434364e-16
1970-01-01T00:00:00.273+01:00,-1.3562915923692742e-07,-3.04913801656752e-16
1970-01-01T00:00:00.276+01:00,-1.6406816061298457e-07,-4.746528394471475e-16
1970-01-01T00:00:00.278+01:00,-1.7827163856232175e-07,-5.555726293659621e-16
1970-01-01T00:00:00.280+01:00,-1.8536931511992094e-07,-5.939241904009775e-16
1970-01-01T00:00:00.282+01:00,-2.0664590583141518e-07,-7.055815576693219e-16
1970-01-01T00:00:00.285+01:00,-2.2789751208396325e-07,-7.919132176083691e-16
1970-01-01T00:00:00.287+01:00,-2.3497575685205163e-07,-8.175450046891695e-16
1970-01-01T00:00:00.289+01:00,-2.561934042688563e-07,-8.777680726174843e-16
1970-01-01T00:00:00.291+01:00,-2.632602073004975e-07,-8.876212709126119e-16
1970-01-01T00:00:00.293+01:00,-2.844431654658308e-07,-9.02979753996259e-16
1970-01-01T00:00:00.295+01:00,-2.9149828451036086e-07,-9.062116498066402e-16
1970-01-01T00:00:00.297+01:00,-3.126458282265432e-07,-9.125694371238757e-16
1970-01-01T00:00:00.299+01:00,-3.196890220324988e-07,-9.15472905254009e-16
1970-01-01T00:00:00.301+01:00,-3.4080043043172026e-07,-8.99126078747371e-16
1970-01-01T00:00:00.303+01:00,-3.548594096347557e-07,-8.8574268144681575e-16
1970-01-01T00:00:00.305+01:00,-3.618842664421251e-07,-8.771350014346654e-16
1970-01-01T00:00:00.307+01:00,-3.82940127607867e-07,-8.359933134911154e-16
1970-01-01T00:00:00.309+01:00,-3.969616290122602e-07,-7.983424060231595e-16
1970-01-01T00:00:00.312+01:00,-4.1796997596321717e-07,-7.350046389793287e-16
1970-01-01T00:00:00.314+01:00,-4.3195943155716066e-07,-6.887513373869221e-16
1970-01-01T00:00:00.316+01:00,-4.3894928281051904e-07,-6.697769793667634e-16
1970-01-01T00:00:00.318+01:00,-4.529191578450664e-07,-6.253797027623419e-16
1970-01-01T00:00:00.320+01:00,-4.66875832327851e-07,-5.789460483415621e-16
1970-01-01T00:00:00.322+01:00,-4.877858373886212e-07,-5.315878053913615e-16
1970-01-01T00:00:00.324+01:00,-4.947491121232162e-07,-5.169341180184719e-16
1970-01-01T00:00:00.326+01:00,-5.156185526322687e-07,-4.890613941430474e-16
1970-01-01T00:00:00.328+01:00,-5.295143812311665e-07,-4.753260521533555e-16
1970-01-01T00:00:00.330+01:00,-5.433963691237054e-07,-4.6650877195249285e-16
1970-01-01T00:00:00.332+01:00,-5.503321367505976e-07,-4.651750263669235e-16
1970-01-01T00:00:00.334+01:00,-5.711183613810178e-07,-4.762065159249991e-16
1970-01-01T00:00:00.336+01:00,-5.849581357075806e-07,-4.847183267103288e-16
1970-01-01T00:00:00.339+01:00,-6.056909466201077e-07,-4.915223197330111e-16
1970-01-01T00:00:00.341+01:00,-6.125946667712157e-07,-4.908066692737328e-16
1970-01-01T00:00:00.343+01:00,-6.332839751488351e-07,-4.781916944738423e-16
1970-01-01T00:00:00.351+01:00,-6.814297405233205e-07,-4.78442530158883e-16
1970-01-01T00:00:00.353+01:00,-7.020073120589387e-07,-4.802221713747025e-16
1970-01-01T00:00:00.355+01:00,-7.157066358454145e-07,-4.766381352113705e-16
1970-01-01T00:00:00.358+01:00,-7.430590408530335e-07,-4.650481056145129e-16
1970-01-01T00:00:00.360+01:00,-7.498874270428502e-07,-4.681806013758838e-16
1970-01-01T00:00:00.363+01:00,-7.703490458865758e-07,-4.776808287808622e-16
1970-01-01T00:00:00.366+01:00,-7.975757618794432e-07,-5.224295826720054e-16
1970-01-01T00:00:00.369+01:00,-8.111651098596795e-07,-5.583927685303147e-16
1970-01-01T00:00:00.371+01:00,-8.247383042059298e-07,-5.928296986489036e-16
1970-01-01T00:00:00.373+01:00,-8.315188093632742e-07,-6.119157685390628e-16
1970-01-01T00:00:00.375+01:00,-8.518357923481545e-07,-6.739219747355795e-16
1970-01-01T00:00:00.377+01:00,-8.653598674301932e-07,-7.131374937702811e-16
1970-01-01T00:00:00.379+01:00,-8.788673508952627e-07,-7.408483891185804e-16
1970-01-01T00:00:00.388+01:00,-9.394427941122885e-07,-9.787183257575553e-16
1970-01-01T00:00:00.391+01:00,-9.66254084078244e-07,-1.096820791400166e-15
1970-01-01T00:00:00.395+01:00,-9.863169210255762e-07,-1.1568002221576996e-15
1970-01-01T00:00:00.397+01:00,-9.929957703880277e-07,-1.1722682128499134e-15
1970-01-01T00:00:00.399+01:00,-1.0063402455795512e-06,-1.1964116004179193e-15
1970-01-01T00:00:00.401+01:00,-1.0263236993601765e-06,-1.212771692157822e-15
1970-01-01T00:00:00.403+01:00,-1.039623674925494e-06,-1.2077427538052838e-15
1970-01-01T00:00:00.405+01:00,-1.0529056654329239e-06,-1.2016522784528457e-15
1970-01-01T00:00:00.407+01:00,-1.0661695659663906e-06,-1.196281705818756e-15
1970-01-01T00:00:00.409+01:00,-1.0794152716098182e-06,-1.1958848742924284e-15
1970-01-01T00:00:00.413+01:00,-1.1190421727036437e-06,-1.158221488306909e-15
1970-01-01T00:00:00.417+01:00,-1.1256304464080102e-06,-1.1480023382433208e-15
1970-01-01T00:00:00.419+01:00,-1.145367219290705e-06,-1.103076438076969e-15
1970-01-01T00:00:00.422+01:00,-1.1716169894260275e-06,-1.0876332193818944e-15
1970-01-01T00:00:00.426+01:00,-1.191254421106791e-06,-1.0950571457298054e-15
1970-01-01T00:00:00.428+01:00,-1.2043220899426998e-06,-1.1046344911483755e-15
1970-01-01T00:00:00.430+01:00,-1.2173704779794292e-06,-1.1172152885746894e-15
1970-01-01T00:00:00.432+01:00,-1.2303994834095278e-06,-1.1266312331837958e-15
1970-01-01T00:00:00.434+01:00,-1.2434090043145218e-06,-1.141950616574094e-15
1970-01-01T00:00:00.437+01:00,-1.2628865310171378e-06,-1.18094836336968e-15
1970-01-01T00:00:00.440+01:00,-1.2823196495759248e-06,-1.2378824505297807e-15
1970-01-01T00:00:00.442+01:00,-1.2952502228547047e-06,-1.2791935798759468e-15
1970-01-01T00:00:00.444+01:00,-1.3081608081222384e-06,-1.325461959491307e-15
1970-01-01T00:00:00.447+01:00,-1.327488989510961e-06,-1.380067129998659e-15
1970-01-01T00:00:00.449+01:00,-1.3403491677665968e-06,-1.4062868600631546e-15
1970-01-01T00:00:00.451+01:00,-1.3531890092899346e-06,-1.4211790948643117e-15
1970-01-01T00:00:00.453+01:00,-1.3724104231949141e-06,-1.4267078678343668e-15
1970-01-01T00:00:00.456+01:00,-1.3851989904001272e-06,-1.4198779332810442e-15
1970-01-01T00:00:00.458+01:00,-1.3915855240353991e-06,-1.4128104289472392e-15
1970-01-01T00:00:00.460+01:00,-1.4107139802987945e-06,-1.3815604819699642e-15
1970-01-01T00:00:00.462+01:00,-1.4234402073709518e-06,-1.3644297871370388e-15
1970-01-01T00:00:00.464+01:00,-1.4361454589995049e-06,-1.3469229579303998e-15
1970-01-01T00:00:00.466+01:00,-1.474134391221682e-06,-1.2737757045524007e-15
