GI: 0:249475628435, 1:+41, 2:+103297, 3:+43, 4:+7, 5:+67
GI: 0:103598, 1:+41, 2:+4546451, 3:+61, 4:+22, 5:+499
GI: 0:4547376, 1:+51, 2:+4966745, 3:+35, 4:+14, 5:+347
GI: 0:4967484, 1:+49, 2:+4223372, 3:+66, 4:+20, 5:+316
GI: 0:4224141, 1:+39, 2:+5045656, 3:+118, 4:+25, 5:+372
GI: 0:5046576, 1:+51, 2:+5153401, 3:+29, 4:+7, 5:+170
GI: 0:5153805, 1:+23, 2:+5132391, 3:+68, 4:+16, 5:+363
GI: 0:5133157, 1:+51, 2:+2515605, 3:+70, 4:+15, 5:+353
GI: 0:2516397, 1:+57, 2:+4942139, 3:+57, 4:+91, 5:+348
GI: 0:4943018, 1:+47, 2:+4935833, 3:+65, 4:+22, 5:+299
GI: 0:4936705, 1:+142, 2:+5138712, 3:+88, 4:+44, 5:+483
