GI: 0:245934258441, 1:+192, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:446, 1:+44, 2:+43174917, 3:+33, 4:+1001427, 5:+344
GI: 0:44177299, 1:+50, 2:+46173408, 3:+56, 4:+1003654, 5:+779
GI: 0:47178544, 1:+131, 2:+39193008, 3:+45, 4:+1001932, 5:+854
GI: 0:40196754, 1:+141, 2:+47261630, 3:+47, 4:+1003348, 5:+819
GI: 0:48266724, 1:+142, 2:+48259250, 3:+44, 4:+999113, 5:+755
GI: 0:49260094, 1:+143, 2:+48257772, 3:+71, 4:+1001387, 5:+778
GI: 0:49260883, 1:+127, 2:+23134484, 3:+47, 4:+1000743, 5:+600
GI: 0:24136559, 1:+98, 2:+46236272, 3:+66, 4:+1000640, 5:+835
GI: 0:47238664, 1:+135, 2:+46252285, 3:+55, 4:+1002222, 5:+564
GI: 0:47255782, 1:+114, 2:+48259155, 3:+43, 4:+1002823, 5:+569
