GI: 0:226954650579, 1:+79, 2:+0, 3:+0, 4:+0, 5:+0
GI: 0:145, 1:+27, 2:+72007, 3:+77, 4:+59, 5:+150
GI: 0:72471, 1:+31, 2:+104445, 3:+42, 4:+54, 5:+26
GI: 0:104891, 1:+34, 2:+103428, 3:+7, 4:+44, 5:+19
GI: 0:103702, 1:+43, 2:+102112, 3:+22, 4:+54, 5:+20
GI: 0:102397, 1:+31, 2:+103489, 3:+9, 4:+46, 5:+23
GI: 0:103891, 1:+33, 2:+105629, 3:+14, 4:+79, 5:+23
GI: 0:106011, 1:+29, 2:+103522, 3:+7, 4:+42, 5:+26
GI: 0:103862, 1:+46, 2:+103831, 3:+7, 4:+113, 5:+24
GI: 0:104263, 1:+34, 2:+105249, 3:+7, 4:+1792, 5:+47
GI: 0:107247, 1:+58, 2:+102334, 3:+12, 4:+2099, 5:+30
